Frame No.,Latitude,Longitude
0,32.672631,-117.13674
0,32.668869333,-117.134279333
0,32.665514,-117.132293
0,32.662579333,-117.130038
0,32.659666333,-117.127490833
0,32.6590305,-117.127043167
360,32.656706,-117.125743
1310,32.651612167,-117.123375833
1310,32.647516333,-117.120950667
1310,32.647397833,-117.120853
1310,32.647307333,-117.120765833
1310,32.647225167,-117.1206685
1310,32.647174167,-117.1205955
1310,32.647105333,-117.1204755
1310,32.647053667,-117.1203555
1310,32.647020667,-117.120256833
1310,32.646989667,-117.120136167
1310,32.646968167,-117.1200095
1310,32.646956,-117.119860167
1310,32.646956,-117.119689
1310,32.646973667,-117.1194605
1310,32.647024,-117.119153833
1310,32.647190167,-117.118513
1310,32.648541667,-117.113527833
1310,32.648822167,-117.112107667
1310,32.648823167,-117.1121025
1310,32.648827667,-117.112075667
1310,32.648846667,-117.111986
1310,32.648861333,-117.111949667
