Frame No.,Vessel ID,X1,Y1,X2,Y2
0,0,654,425,687,437
180,0,573,423,608,436
360,0,486,423,516,435
540,0,418,421,445,437
720,0,408,423,428,436
900,0,458,426,492,441
1080,0,559,428,598,446
1260,0,703,429,754,454
1440,0,866,436,916,458
1620,0,974,436,1020,467
1800,0,1037,447,1095,477
1980,0,992,454,1099,494
2160,0,894,463,1053,512
2340,0,831,474,1020,527
2520,0,814,479,1018,539
2700,0,807,485,1036,559
2880,0,837,500,1093,573
3060,0,895,506,1157,586
3240,0,1008,518,1258,612
3420,0,902,532,1256,672
