Frame No.,Vessel ID,Latitude,Longitude,X,Y,W,H
0,0,32.703180333,-117.233720333,554,427,65,34
360,0,32.7031835,-117.234026,685,436,99,38
720,0,32.7027545,-117.234017667,685,436,99,38
1080,0,32.702750833,-117.234147333,1169,431,81,34
1440,0,32.702956833,-117.2339705,695,432,86,39
1800,0,32.703253167,-117.234196667,132,429,57,39
2160,0,32.7033075,-117.234030333,495,440,82,27
2520,0,32.702981167,-117.233853167,1036,431,43,24
2880,0,32.702673333,-117.233515,1126,420,35,22
3240,0,32.7028145,-117.2332445,929,425,39,17
