Frame No.,Vessel ID,X1,Y1,X2,Y2
0,0,559,434,606,447
1,0,555,434,606,453
2,0,555,434,596,447
3,0,555,432,600,447
4,0,555,432,595,452
5,0,551,434,594,447
5,1,46,490,66,501
6,0,551,432,594,447
6,1,81,452,84,454
7,0,546,432,595,447
8,0,567,435,587,447
9,0,566,434,589,447
10,0,566,435,589,447
11,0,555,434,588,447
12,0,557,434,595,451
13,0,544,434,594,447
14,0,544,435,587,447
15,0,558,437,588,447
15,1,75,452,80,457
15,2,994,550,1000,554
15,3,76,604,84,606
16,0,557,437,584,451
16,2,997,550,1000,552
17,0,556,435,586,447
17,2,997,550,999,551
18,0,541,437,590,448
18,2,997,549,999,550
19,0,540,437,589,447
19,2,997,549,997,550
20,0,540,434,584,447
20,2,994,549,998,552
21,0,537,437,583,447
21,2,995,549,998,552
22,0,537,437,583,447
22,2,993,547,998,552
23,0,537,439,585,451
23,2,995,547,998,552
23,4,138,468,150,472
24,0,533,437,584,451
24,2,997,547,999,551
24,4,144,496,146,502
25,0,533,437,583,448
25,2,997,547,998,550
26,0,533,438,583,451
26,1,78,437,89,455
27,0,533,439,582,451
28,0,530,440,574,451
28,2,994,547,997,548
29,0,530,435,575,447
29,2,994,547,998,549
30,0,530,437,570,451
31,0,525,437,578,451
31,2,994,548,997,549
32,0,544,437,577,451
32,2,993,549,997,551
33,0,528,437,571,451
33,2,993,548,997,551
34,0,526,437,576,451
34,2,993,547,997,551
34,4,110,505,110,509
35,0,525,437,570,451
36,0,522,434,566,451
37,0,523,434,568,451
38,0,523,435,564,451
39,0,533,434,562,449
40,0,533,437,562,447
41,0,519,434,561,449
41,3,63,646,68,654
42,0,519,434,566,451
42,2,996,551,999,552
43,0,519,434,565,451
44,0,512,434,565,451
44,2,995,553,997,554
45,0,515,434,559,451
45,5,751,597,757,604
46,0,509,434,556,451
47,0,508,432,558,451
47,4,71,513,82,525
48,0,508,432,561,451
49,0,506,430,561,451
50,0,508,431,552,451
51,0,513,430,555,451
51,4,75,488,79,496
52,0,503,432,552,449
53,0,501,431,551,452
54,0,501,434,551,452
54,6,934,625,934,626
55,0,499,432,549,452
56,0,505,432,549,451
56,2,997,560,999,562
57,0,501,434,546,449
58,0,495,435,544,451
58,2,998,559,1003,563
59,0,501,434,546,451
59,2,997,556,1003,563
60,0,504,434,548,450
60,2,997,559,1002,564
61,0,504,434,548,452
61,2,999,561,1000,563
62,0,498,435,547,451
62,2,999,560,1003,563
63,0,494,433,545,450
64,0,506,432,541,450
64,7,1062,608,1064,610
65,0,495,434,540,451
66,0,494,434,538,451
67,0,494,434,535,452
67,2,1001,559,1005,563
68,0,494,434,535,451
68,2,1001,559,1005,563
69,0,490,434,539,451
69,2,1001,559,1005,563
70,0,490,434,539,452
70,2,1001,560,1005,563
71,0,492,434,539,452
71,2,1000,561,1004,561
72,0,489,434,539,452
72,2,1000,558,1008,561
73,0,501,435,539,452
73,2,1002,559,1005,563
74,0,489,435,534,449
74,2,1001,557,1008,563
75,0,487,434,534,452
75,2,1001,557,1007,563
75,4,34,471,77,480
76,0,486,434,533,452
76,2,1003,558,1004,560
77,0,479,435,528,452
78,0,475,435,532,452
79,0,475,434,532,451
79,6,940,614,942,615
80,0,478,434,530,452
81,0,474,435,524,454
82,0,477,435,528,453
82,2,1001,553,1005,561
83,0,475,440,521,453
83,2,1001,553,1006,561
84,0,475,440,521,453
84,2,1001,553,1006,561
85,0,475,440,521,453
85,2,1001,553,1006,561
86,0,475,440,521,453
86,2,1001,553,1006,561
87,0,472,434,518,452
88,0,474,435,519,452
89,0,471,433,512,454
90,0,469,436,512,454
90,4,70,435,73,453
91,0,472,435,516,451
91,4,70,451,73,454
91,2,1002,557,1006,559
